#;HV0;HV1;HV2;HV3;HV4;HV5;HV6;HV7;
Statistics
Average;55.04217;55.05220;55.05485;55.05750;55.03642;55.06207;55.07040;55.06797;
Std Dev.;0.000549;0.000632;0.000698;0.000640;0.000586;0.000667;0.000566;0.000591;
Min;55.041;55.051;55.054;55.056;55.035;55.06;55.069;55.066;
Max;55.044;55.054;55.057;55.059;55.038;55.064;55.072;55.069;
Max-Min;0.00300000000000011;0.00300000000000011;0.00300000000000011;0.00300000000000011;0.00300000000000011;0.00399999999999778;0.00300000000000011;0.00300000000000011;
