#;HV0;HV1;HV2;HV3;HV4;HV5;HV6;HV7;
Statistics
Average;5.00368;5.00317;5.00368;5.00478;5.00254;5.00338;5.00488;5.00371;
Std Dev.;0.000527;0.000567;0.000466;0.000642;0.000537;0.000613;0.000515;0.000535;
Min;5.002;5.002;5.003;5.004;5.001;5.002;5.004;5.002;
Max;5.005;5.004;5.004;5.006;5.004;5.004;5.006;5.005;
Max-Min;0.00300000000000011;0.00199999999999978;0.000999999999999446;0.00200000000000067;0.00299999999999923;0.00199999999999978;0.00200000000000067;0.00300000000000011;
