#;HV0;HV1;HV2;HV3;HV4;HV5;HV6;HV7;
Statistics
Average;55.09840;55.09898;55.10660;55.06358;55.07837;55.08341;55.10167;55.10173;
Std Dev.;0.000616;0.000547;0.000648;0.000619;0.000673;0.000708;0.000775;0.000691;
Min;55.097;55.097;55.105;55.062;55.077;55.082;55.1;55.1;
Max;55.099;55.101;55.108;55.065;55.08;55.085;55.103;55.103;
Max-Min;0.00199999999999534;0.00399999999999778;0.00300000000000011;0.00300000000000011;0.00300000000000011;0.00300000000000011;0.00300000000000011;0.00300000000000011;
