#;HV0;HV1;HV2;HV3;HV4;HV5;HV6;HV7;
Statistics
Average;137505.37000;137507.09000;137525.85000;137418.81000;137456.02000;137468.54000;137513.72000;137513.74000;
Std Dev.;1.339067;1.428951;1.545154;1.467617;1.574675;1.551902;1.655778;1.460274;
Min;137502;137503;137521;137415;137452;137465;137510;137510;
Max;137508;137511;137530;137423;137460;137472;137517;137517;
Max-Min;6;8;9;8;8;7;7;7;
