GainF(V/LSB);OffsetF (LSB);RT_max;Rt_min
0.999708;7.024902;24521.2284;2232.85642
0.999681;9.110771;24521.2284;2233.40916
0.999533;10.634071;24528.86;2233.96201
1.000339;6.885892;24513.601;2232.85642
1.000075;5.919642;24521.2284;2233.68557
0.999960;9.294094;24513.601;2233.13277
0.999613;11.852448;24521.2284;2233.96201
0.999620;10.831482;24521.2284;2233.13277
