#;HV0;HV1;HV2;HV3;HV4;HV5;HV6;HV7;
Statistics
Average;12489.79000;12488.05000;12488.37000;12482.05000;12486.31000;12484.38000;12486.16000;12487.09000;
Std Dev.;1.098135;1.336974;1.055036;1.314344;1.331878;1.247237;1.254751;1.158404;
Min;12487;12485;12486;12479;12482;12482;12484;12485;
Max;12492;12492;12491;12485;12490;12487;12489;12490;
Max-Min;5;7;5;6;8;5;5;5;
