#;HV0;HV1;HV2;HV3;HV4;HV5;HV6;HV7;
Statistics
Average;12489.79000;12488.05000;12488.37000;12482.05000;12486.31000;12484.38000;12486.16000;12487.09000;
Std Dev.;1.098135;1.336974;1.055036;1.314344;1.331878;1.247237;1.254751;1.158404;
Min;12487;12485;12486;12479;12482;12482;12484;12485;
Max;12492;12492;12491;12485;12490;12487;12489;12490;
Max-Min;5;7;5;6;8;5;5;5;

#;HV0;HV1;HV2;HV3;HV4;HV5;HV6;HV7;
Statistics
Average;137505.37000;137507.09000;137525.85000;137418.81000;137456.02000;137468.54000;137513.72000;137513.74000;
Std Dev.;1.339067;1.428951;1.545154;1.467617;1.574675;1.551902;1.655778;1.460274;
Min;137502;137503;137521;137415;137452;137465;137510;137510;
Max;137508;137511;137530;137423;137460;137472;137517;137517;
Max-Min;6;8;9;8;8;7;7;7;

DMMmin (V);5.00600;5.00600;5.00600;5.00600;5.00600;5.00600;5.00600;5.00600;
DMMmax (V);55.08500;55.08500;55.08500;55.08500;55.08500;55.08500;55.08500;55.08500;
ADCmin (LSB);12489.79000;12488.05000;12488.37000;12482.05000;12486.31000;12484.38000;12486.16000;12487.09000;
ADCmax (LSB);137505.37000;137507.09000;137525.85000;137418.81000;137456.02000;137468.54000;137513.72000;137513.74000;
GainF(V/LSB);0.999708;0.999681;0.999533;1.000339;1.000075;0.999960;0.999613;0.999620;
OffsetF (LSB);7.024902;9.110771;10.634071;6.885892;5.919642;9.294094;11.852448;10.831482;

Verification
ADCmin To V;5.006000;5.006000;5.006000;5.006000;5.006000;5.006000;5.006000;5.006000;
Diff ADCmin;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;
ADCmax To V;55.085000;55.085000;55.085000;55.085000;55.085000;55.085000;55.085000;55.085000;
Diff ADCmax;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;
