#;HV0;HV1;HV2;HV3;HV4;HV5;HV6;HV7;
Statistics
Average;5.00466;5.00401;5.00414;5.00165;5.00339;5.00252;5.00326;5.00374;
Std Dev.;0.000587;0.000538;0.000400;0.000572;0.000662;0.000624;0.000642;0.000482;
Min;5.004;5.003;5.003;5;5.002;5.002;5.002;5.003;
Max;5.006;5.006;5.005;5.003;5.005;5.004;5.004;5.005;
Max-Min;0.00200000000000067;0.00300000000000011;0.00199999999999978;0.00300000000000011;0.00300000000000011;0.00199999999999978;0.00199999999999978;0.00199999999999978;
