#;HV0;HV1;HV2;HV3;HV4;HV5;HV6;HV7;
Statistics
Average;55.03680;55.04563;55.04847;55.05041;55.03009;55.05562;55.06374;55.06118;
Std Dev.;0.000707;0.000643;0.000608;0.000680;0.000585;0.000660;0.000541;0.000753;
Min;55.035;55.044;55.047;55.049;55.029;55.054;55.063;55.06;
Max;55.038;55.047;55.05;55.052;55.032;55.057;55.065;55.063;
Max-Min;0.00300000000000011;0.00300000000000011;0.00300000000000011;0.00300000000000011;0.00299999999999301;0.00300000000000011;0.00199999999999534;0.00300000000000011;
