#;HV0;HV1;HV2;HV3;HV4;HV5;HV6;HV7;
Statistics
Average;12484.26000;12482.88000;12484.32000;12487.31000;12481.69000;12483.90000;12487.18000;12484.66000;
Std Dev.;1.162927;1.124989;1.190630;1.101771;0.996945;1.126943;1.023523;1.234666;
Min;12481;12480;12481;12484;12479;12482;12484;12482;
Max;12487;12486;12488;12490;12484;12486;12489;12487;
Max-Min;6;6;7;6;5;4;5;5;

#;HV0;HV1;HV2;HV3;HV4;HV5;HV6;HV7;
Statistics
Average;137352.05000;137373.91000;137381.31000;137386.03000;137335.22000;137398.94000;137419.26000;137412.91000;
Std Dev.;1.444818;1.510596;1.433143;1.493017;1.425342;1.554477;1.432620;1.625392;
Min;137348;137370;137378;137382;137332;137394;137417;137409;
Max;137355;137378;137386;137389;137339;137403;137423;137417;
Max-Min;7;8;8;7;7;9;6;8;

DMMmin (V);5.00305;5.00305;5.00305;5.00305;5.00305;5.00305;5.00305;5.00305;
DMMmax (V);55.03000;55.03000;55.03000;55.03000;55.03000;55.03000;55.03000;55.03000;
ADCmin (LSB);12484.26000;12482.88000;12484.32000;12487.31000;12481.69000;12483.90000;12487.18000;12484.66000;
ADCmax (LSB);137352.05000;137373.91000;137381.31000;137386.03000;137335.22000;137398.94000;137419.26000;137412.91000;
GainF(V/LSB);0.999851;0.999665;0.999618;0.999604;0.999966;0.999473;0.999337;0.999367;
OffsetF (LSB);3.405084;7.109249;6.265291;3.448303;4.548983;8.490419;6.914540;9.051513;

Verification
ADCmin To V;5.003050;5.003050;5.003050;5.003050;5.003050;5.003050;5.003050;5.003050;
Diff ADCmin;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;
ADCmax To V;55.030000;55.030000;55.030000;55.030000;55.030000;55.030000;55.030000;55.030000;
Diff ADCmax;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;
