#;HV0;HV1;HV2;HV3;HV4;HV5;HV6;HV7;
Statistics
Average;137352.05000;137373.91000;137381.31000;137386.03000;137335.22000;137398.94000;137419.26000;137412.91000;
Std Dev.;1.444818;1.510596;1.433143;1.493017;1.425342;1.554477;1.432620;1.625392;
Min;137348;137370;137378;137382;137332;137394;137417;137409;
Max;137355;137378;137386;137389;137339;137403;137423;137417;
Max-Min;7;8;8;7;7;9;6;8;
