#;HV0;HV1;HV2;HV3;HV4;HV5;HV6;HV7;
Statistics
Average;5.00244;5.00197;5.00246;5.00377;5.00159;5.00232;5.00378;5.00262;
Std Dev.;0.000571;0.000386;0.000555;0.000466;0.000512;0.000466;0.000438;0.000579;
Min;5.001;5.001;5.001;5.002;5;5.002;5.002;5.002;
Max;5.004;5.003;5.004;5.005;5.002;5.003;5.004;5.004;
Max-Min;0.00299999999999923;0.00199999999999978;0.00299999999999923;0.00300000000000011;0.00199999999999978;0.00100000000000033;0.00199999999999978;0.00199999999999978;
