GainF(V/LSB);OffsetF (LSB);RT_max;Rt_min
0.999851;3.405084;24312.54918;2214.01893
0.999665;7.109249;24303.53067;2214.073829
0.999618;6.265291;24306.53618;2213.991481
0.999604;3.448303;24306.53618;2214.073829
0.999966;4.548983;24303.53067;2214.540512
0.999473;8.490419;24306.91191;2214.622877
0.999337;6.914540;24309.54235;2214.128728
0.999367;9.051513;24306.53618;2214.073829
